time,essid,signal_total,signal_level_dBm,signal_quality
2019-08-16T11:04:01,MOVISTAR_67E6b,70,-63,47
2019-08-16T11:05:02,MOVISTAR_67E6,70,-78,32
2019-08-16T11:05:02,MOVISTAR_67E6b,70,-61,49
2019-08-16T11:06:01,MOVISTAR_67E6,70,-73,37
2019-08-16T11:06:01,MOVISTAR_67E6b,70,-60,50
2019-08-16T11:07:01,MOVISTAR_67E6,70,-73,37
2019-08-16T11:07:01,MOVISTAR_67E6b,70,-61,49
2019-08-16T11:08:01,MOVISTAR_67E6,70,-77,33
2019-08-16T11:08:01,MOVISTAR_67E6b,70,-62,48
2019-08-16T11:09:02,MOVISTAR_67E6,70,-78,32
2019-08-16T11:09:02,MOVISTAR_67E6b,70,-62,48
2019-08-16T11:10:01,MOVISTAR_67E6,70,-77,33
2019-08-16T11:10:01,MOVISTAR_67E6b,70,-60,50
2019-08-16T11:11:01,MOVISTAR_67E6,70,-73,37
2019-08-16T11:11:01,MOVISTAR_67E6b,70,-63,47
2019-08-16T11:12:01,MOVISTAR_67E6,70,-69,41
2019-08-16T11:12:01,MOVISTAR_67E6b,70,-62,48
2019-08-16T11:13:02,MOVISTAR_67E6,70,-68,42
2019-08-16T11:13:02,MOVISTAR_67E6b,70,-61,49
2019-08-16T11:14:01,MOVISTAR_67E6,70,-69,41
2019-08-16T11:14:01,MOVISTAR_67E6b,70,-56,54
2019-08-16T11:15:01,MOVISTAR_67E6,70,-68,42
2019-08-16T11:15:01,MOVISTAR_67E6b,70,-64,46
2019-08-16T11:16:01,MOVISTAR_67E6,70,-68,42
2019-08-16T11:16:01,MOVISTAR_67E6b,70,-63,47
2019-08-16T11:17:02,MOVISTAR_67E6,70,-69,41
2019-08-16T11:17:02,MOVISTAR_67E6b,70,-59,51
2019-08-16T11:18:01,MOVISTAR_67E6,70,-71,39
2019-08-16T11:18:01,MOVISTAR_67E6b,70,-60,50
2019-08-16T11:19:01,MOVISTAR_67E6,70,-66,44
2019-08-16T11:19:01,MOVISTAR_67E6b,70,-66,44
2019-08-16T11:20:01,MOVISTAR_67E6,70,-68,42
2019-08-16T11:20:01,MOVISTAR_67E6b,70,-62,48
2019-08-16T11:21:02,MOVISTAR_67E6,70,-68,42
2019-08-16T11:21:02,MOVISTAR_67E6b,70,-64,46
2019-08-16T11:22:01,MOVISTAR_67E6,70,-68,42
2019-08-16T11:22:01,MOVISTAR_67E6b,70,-63,47
2019-08-16T11:23:01,MOVISTAR_67E6,70,-73,37
